"loanid","readerid","bookid","loandate","duedate","daysoverdue"
59140,22004,95371,"2023-12-03","2023-12-31",358
50390,13475,61018,"2023-12-03","2023-12-31",358
51441,6508,67979,"2023-12-03","2023-12-31",358
52649,29559,31963,"2023-12-03","2023-12-31",358
58632,22861,18870,"2023-12-03","2023-12-31",358
58631,11861,51453,"2023-12-03","2023-12-31",358
53221,30107,7227,"2023-12-03","2023-12-31",358
55019,23039,64996,"2023-12-03","2023-12-31",358
51565,11206,84196,"2023-12-03","2023-12-31",358
54699,26905,16611,"2023-12-03","2023-12-31",358
57731,12268,38071,"2023-12-03","2023-12-31",358
51565,11206,84196,"2023-12-03","2023-12-31",358
53551,30641,18441,"2023-12-03","2023-12-31",358
59140,22004,95371,"2023-12-03","2023-12-31",358
52991,10323,60790,"2023-12-03","2023-12-31",358
59649,33153,15898,"2023-12-03","2023-12-31",358
57810,6335,67491,"2023-12-03","2023-12-31",358
58743,26633,1941,"2023-12-03","2023-12-31",358
54710,16555,31561,"2023-12-03","2023-12-31",358
51272,8609,70059,"2023-12-03","2023-12-31",358
54762,10394,41550,"2023-12-03","2023-12-31",358
55485,17640,72547,"2023-12-03","2023-12-31",358
51441,6508,67979,"2023-12-03","2023-12-31",358
54710,16555,31561,"2023-12-03","2023-12-31",358
53221,30107,7227,"2023-12-03","2023-12-31",358
58743,26633,1941,"2023-12-03","2023-12-31",358
50390,13475,61018,"2023-12-03","2023-12-31",358
51701,21801,12907,"2023-12-03","2023-12-31",358
55019,23039,64996,"2023-12-03","2023-12-31",358
51283,15425,35567,"2023-12-03","2023-12-31",358
54699,26905,16611,"2023-12-03","2023-12-31",358
54762,10394,41550,"2023-12-03","2023-12-31",358
59649,33153,15898,"2023-12-03","2023-12-31",358
51283,15425,35567,"2023-12-03","2023-12-31",358
58632,22861,18870,"2023-12-03","2023-12-31",358
54981,441,12612,"2023-12-03","2023-12-31",358
57731,12268,38071,"2023-12-03","2023-12-31",358
55485,17640,72547,"2023-12-03","2023-12-31",358
53551,30641,18441,"2023-12-03","2023-12-31",358
55647,8264,35378,"2023-12-03","2023-12-31",358
54981,441,12612,"2023-12-03","2023-12-31",358
55296,27507,59815,"2023-12-03","2023-12-31",358
51272,8609,70059,"2023-12-03","2023-12-31",358
52649,29559,31963,"2023-12-03","2023-12-31",358
52626,15185,15246,"2023-12-03","2023-12-31",358
53909,18053,84614,"2023-12-04","2024-01-01",357
59508,1058,23846,"2023-12-04","2024-01-01",357
55850,14794,42646,"2023-12-04","2024-01-01",357
59575,5322,30090,"2023-12-04","2024-01-01",357
59286,13157,84692,"2023-12-04","2024-01-01",357
55850,14794,42646,"2023-12-04","2024-01-01",357
52236,601,40497,"2023-12-04","2024-01-01",357
51190,16621,25286,"2023-12-04","2024-01-01",357
58263,3398,92078,"2023-12-04","2024-01-01",357
59200,17962,74531,"2023-12-04","2024-01-01",357
57631,3066,19093,"2023-12-04","2024-01-01",357
58366,2674,30617,"2023-12-04","2024-01-01",357
55897,11251,10110,"2023-12-04","2024-01-01",357
53851,1692,56340,"2023-12-04","2024-01-01",357
55022,27337,39097,"2023-12-04","2024-01-01",357
59508,1058,23846,"2023-12-04","2024-01-01",357
52160,21236,63028,"2023-12-04","2024-01-01",357
51796,13578,56189,"2023-12-04","2024-01-01",357
55022,27337,39097,"2023-12-04","2024-01-01",357
53909,18053,84614,"2023-12-04","2024-01-01",357
55897,11251,10110,"2023-12-04","2024-01-01",357
55988,24006,93206,"2023-12-04","2024-01-01",357
59286,13157,84692,"2023-12-04","2024-01-01",357
59200,17962,74531,"2023-12-04","2024-01-01",357
59575,5322,30090,"2023-12-04","2024-01-01",357
57631,3066,19093,"2023-12-04","2024-01-01",357
56522,18604,86873,"2023-12-04","2024-01-01",357
55988,24006,93206,"2023-12-04","2024-01-01",357
57125,29062,57182,"2023-12-04","2024-01-01",357
57125,29062,57182,"2023-12-04","2024-01-01",357
56522,18604,86873,"2023-12-04","2024-01-01",357
58263,3398,92078,"2023-12-04","2024-01-01",357
52160,21236,63028,"2023-12-04","2024-01-01",357
53851,1692,56340,"2023-12-04","2024-01-01",357
51190,16621,25286,"2023-12-04","2024-01-01",357
52236,601,40497,"2023-12-04","2024-01-01",357
51796,13578,56189,"2023-12-04","2024-01-01",357
58366,2674,30617,"2023-12-04","2024-01-01",357
57518,5197,21880,"2023-12-05","2024-01-02",356
57237,18498,24741,"2023-12-05","2024-01-02",356
53767,26380,8882,"2023-12-05","2024-01-02",356
53490,5212,15342,"2023-12-05","2024-01-02",356
58397,19463,37296,"2023-12-05","2024-01-02",356
56018,23153,26066,"2023-12-05","2024-01-02",356
57237,18498,24741,"2023-12-05","2024-01-02",356
59805,19765,95356,"2023-12-05","2024-01-02",356
55190,17666,40064,"2023-12-05","2024-01-02",356
51933,24839,83820,"2023-12-05","2024-01-02",356
51950,11589,35190,"2023-12-05","2024-01-02",356
57518,5197,21880,"2023-12-05","2024-01-02",356
53490,5212,15342,"2023-12-05","2024-01-02",356
50904,12516,4838,"2023-12-05","2024-01-02",356
56018,23153,26066,"2023-12-05","2024-01-02",356
54751,6529,56970,"2023-12-05","2024-01-02",356
55065,29008,78068,"2023-12-05","2024-01-02",356
50113,9986,31560,"2023-12-05","2024-01-02",356
54013,12255,88693,"2023-12-05","2024-01-02",356
58766,13226,2580,"2023-12-05","2024-01-02",356
51933,24839,83820,"2023-12-05","2024-01-02",356
56637,12687,6033,"2023-12-05","2024-01-02",356
50102,8445,78355,"2023-12-05","2024-01-02",356
55065,29008,78068,"2023-12-05","2024-01-02",356
58766,13226,2580,"2023-12-05","2024-01-02",356
57323,5946,47775,"2023-12-05","2024-01-02",356
56637,12687,6033,"2023-12-05","2024-01-02",356
55190,17666,40064,"2023-12-05","2024-01-02",356
51950,11589,35190,"2023-12-05","2024-01-02",356
57323,5946,47775,"2023-12-05","2024-01-02",356
50113,9986,31560,"2023-12-05","2024-01-02",356
54013,12255,88693,"2023-12-05","2024-01-02",356
59805,19765,95356,"2023-12-05","2024-01-02",356
50904,12516,4838,"2023-12-05","2024-01-02",356
58397,19463,37296,"2023-12-05","2024-01-02",356
53767,26380,8882,"2023-12-05","2024-01-02",356
53969,14196,32098,"2023-12-05","2024-01-02",356
50102,8445,78355,"2023-12-05","2024-01-02",356
54751,6529,56970,"2023-12-05","2024-01-02",356
53969,14196,32098,"2023-12-05","2024-01-02",356
59636,20990,65375,"2023-12-06","2024-01-03",355
59636,20990,65375,"2023-12-06","2024-01-03",355
51535,1193,98343,"2023-12-06","2024-01-03",355
55790,3460,12522,"2023-12-06","2024-01-03",355
51535,1193,98343,"2023-12-06","2024-01-03",355
54112,19550,68352,"2023-12-06","2024-01-03",355
56958,14028,10243,"2023-12-06","2024-01-03",355
55325,32463,70300,"2023-12-06","2024-01-03",355
57485,27834,15602,"2023-12-06","2024-01-03",355
53013,32718,63370,"2023-12-06","2024-01-03",355
57936,27250,24842,"2023-12-06","2024-01-03",355
51704,31883,64245,"2023-12-06","2024-01-03",355
58002,14586,80166,"2023-12-06","2024-01-03",355
55946,10068,47378,"2023-12-06","2024-01-03",355
51747,25021,51587,"2023-12-06","2024-01-03",355
50474,10071,2844,"2023-12-06","2024-01-03",355
53057,10296,38915,"2023-12-06","2024-01-03",355
51322,3770,85789,"2023-12-06","2024-01-03",355
54349,24624,18015,"2023-12-06","2024-01-03",355
59762,1441,36313,"2023-12-06","2024-01-03",355
55790,3460,12522,"2023-12-06","2024-01-03",355
50474,10071,2844,"2023-12-06","2024-01-03",355
54598,8545,56094,"2023-12-06","2024-01-03",355
51322,3770,85789,"2023-12-06","2024-01-03",355
50620,26758,81701,"2023-12-06","2024-01-03",355
56958,14028,10243,"2023-12-06","2024-01-03",355
52351,9131,2620,"2023-12-06","2024-01-03",355
56794,7490,41175,"2023-12-06","2024-01-03",355
52351,9131,2620,"2023-12-06","2024-01-03",355
54583,23834,37689,"2023-12-06","2024-01-03",355
50620,26758,81701,"2023-12-06","2024-01-03",355
53057,10296,38915,"2023-12-06","2024-01-03",355
54598,8545,56094,"2023-12-06","2024-01-03",355
54583,23834,37689,"2023-12-06","2024-01-03",355
59762,1441,36313,"2023-12-06","2024-01-03",355
57009,19203,30101,"2023-12-06","2024-01-03",355
51704,31883,64245,"2023-12-06","2024-01-03",355
56794,7490,41175,"2023-12-06","2024-01-03",355
51747,25021,51587,"2023-12-06","2024-01-03",355
53013,32718,63370,"2023-12-06","2024-01-03",355
55325,32463,70300,"2023-12-06","2024-01-03",355
57936,27250,24842,"2023-12-06","2024-01-03",355
57485,27834,15602,"2023-12-06","2024-01-03",355
58002,14586,80166,"2023-12-06","2024-01-03",355
57009,19203,30101,"2023-12-06","2024-01-03",355
55946,10068,47378,"2023-12-06","2024-01-03",355
54112,19550,68352,"2023-12-06","2024-01-03",355
54349,24624,18015,"2023-12-06","2024-01-03",355
58054,25316,55457,"2023-12-07","2024-01-04",354
56239,30103,42019,"2023-12-07","2024-01-04",354
53280,24234,4768,"2023-12-07","2024-01-04",354
57003,8412,76319,"2023-12-07","2024-01-04",354
57488,15344,25039,"2023-12-07","2024-01-04",354
59759,14045,70755,"2023-12-07","2024-01-04",354
55411,14000,29396,"2023-12-07","2024-01-04",354
54578,20885,45564,"2023-12-07","2024-01-04",354
53072,9134,60437,"2023-12-07","2024-01-04",354
56738,12221,17849,"2023-12-07","2024-01-04",354
56012,224,38923,"2023-12-07","2024-01-04",354
57545,19661,88140,"2023-12-07","2024-01-04",354
55226,6077,1075,"2023-12-07","2024-01-04",354
56020,31340,71561,"2023-12-07","2024-01-04",354
57003,8412,76319,"2023-12-07","2024-01-04",354
53401,14932,82168,"2023-12-07","2024-01-04",354
56819,21988,7201,"2023-12-07","2024-01-04",354
59672,3592,32471,"2023-12-07","2024-01-04",354
57828,32617,59998,"2023-12-07","2024-01-04",354
50550,13684,95277,"2023-12-07","2024-01-04",354
55775,9346,48162,"2023-12-07","2024-01-04",354
57545,19661,88140,"2023-12-07","2024-01-04",354
55482,30455,38863,"2023-12-07","2024-01-04",354
53689,20099,41226,"2023-12-07","2024-01-04",354
56012,224,38923,"2023-12-07","2024-01-04",354
57488,15344,25039,"2023-12-07","2024-01-04",354
53401,14932,82168,"2023-12-07","2024-01-04",354
53975,17955,29011,"2023-12-07","2024-01-04",354
55506,12677,13129,"2023-12-07","2024-01-04",354
55506,12677,13129,"2023-12-07","2024-01-04",354
59313,7763,92905,"2023-12-07","2024-01-04",354
55411,14000,29396,"2023-12-07","2024-01-04",354
53072,9134,60437,"2023-12-07","2024-01-04",354
55775,9346,48162,"2023-12-07","2024-01-04",354
57828,32617,59998,"2023-12-07","2024-01-04",354
59759,14045,70755,"2023-12-07","2024-01-04",354
51338,5949,10022,"2023-12-07","2024-01-04",354
53280,24234,4768,"2023-12-07","2024-01-04",354
50989,25578,68316,"2023-12-07","2024-01-04",354
56020,31340,71561,"2023-12-07","2024-01-04",354
53689,20099,41226,"2023-12-07","2024-01-04",354
59672,3592,32471,"2023-12-07","2024-01-04",354
58054,25316,55457,"2023-12-07","2024-01-04",354
55482,30455,38863,"2023-12-07","2024-01-04",354
56738,12221,17849,"2023-12-07","2024-01-04",354
55226,6077,1075,"2023-12-07","2024-01-04",354
53975,17955,29011,"2023-12-07","2024-01-04",354
50550,13684,95277,"2023-12-07","2024-01-04",354
56819,21988,7201,"2023-12-07","2024-01-04",354
56239,30103,42019,"2023-12-07","2024-01-04",354
50989,25578,68316,"2023-12-07","2024-01-04",354
54578,20885,45564,"2023-12-07","2024-01-04",354
59313,7763,92905,"2023-12-07","2024-01-04",354
51338,5949,10022,"2023-12-07","2024-01-04",354
52583,31530,14149,"2023-12-08","2024-01-05",353
59557,11446,95927,"2023-12-08","2024-01-05",353
50923,28697,40646,"2023-12-08","2024-01-05",353
59597,26412,60719,"2023-12-08","2024-01-05",353
51143,13393,37581,"2023-12-08","2024-01-05",353
50923,28697,40646,"2023-12-08","2024-01-05",353
53127,29017,64512,"2023-12-08","2024-01-05",353
50454,2231,11259,"2023-12-08","2024-01-05",353
56229,23451,69237,"2023-12-08","2024-01-05",353
57430,17111,29868,"2023-12-08","2024-01-05",353
58678,3987,90240,"2023-12-08","2024-01-05",353
59744,485,37983,"2023-12-08","2024-01-05",353
50463,1710,97734,"2023-12-08","2024-01-05",353
59557,11446,95927,"2023-12-08","2024-01-05",353
53171,10694,23622,"2023-12-08","2024-01-05",353
59288,26782,97796,"2023-12-08","2024-01-05",353
53673,21395,57621,"2023-12-08","2024-01-05",353
50454,2231,11259,"2023-12-08","2024-01-05",353
58219,23070,48064,"2023-12-08","2024-01-05",353
57895,23198,99631,"2023-12-08","2024-01-05",353
59288,26782,97796,"2023-12-08","2024-01-05",353
52111,15260,97264,"2023-12-08","2024-01-05",353
55217,4888,68577,"2023-12-08","2024-01-05",353
54890,20099,16033,"2023-12-08","2024-01-05",353
52111,15260,97264,"2023-12-08","2024-01-05",353
59597,26412,60719,"2023-12-08","2024-01-05",353
54430,11903,53717,"2023-12-08","2024-01-05",353
57430,17111,29868,"2023-12-08","2024-01-05",353
53171,10694,23622,"2023-12-08","2024-01-05",353
53673,21395,57621,"2023-12-08","2024-01-05",353
50463,1710,97734,"2023-12-08","2024-01-05",353
50381,9047,44131,"2023-12-08","2024-01-05",353
53127,29017,64512,"2023-12-08","2024-01-05",353
54430,11903,53717,"2023-12-08","2024-01-05",353
55217,4888,68577,"2023-12-08","2024-01-05",353
51143,13393,37581,"2023-12-08","2024-01-05",353
54890,20099,16033,"2023-12-08","2024-01-05",353
58219,23070,48064,"2023-12-08","2024-01-05",353
57895,23198,99631,"2023-12-08","2024-01-05",353
56229,23451,69237,"2023-12-08","2024-01-05",353
52583,31530,14149,"2023-12-08","2024-01-05",353
58678,3987,90240,"2023-12-08","2024-01-05",353
57261,20403,98530,"2023-12-08","2024-01-05",353
59744,485,37983,"2023-12-08","2024-01-05",353
57261,20403,98530,"2023-12-08","2024-01-05",353
50381,9047,44131,"2023-12-08","2024-01-05",353
56285,31140,81252,"2023-12-09","2024-01-06",352
57120,20196,16203,"2023-12-09","2024-01-06",352
50384,21785,65809,"2023-12-09","2024-01-06",352
54522,8305,97724,"2023-12-09","2024-01-06",352
57230,24043,90505,"2023-12-09","2024-01-06",352
57230,24043,90505,"2023-12-09","2024-01-06",352
57120,20196,16203,"2023-12-09","2024-01-06",352
59182,21623,77702,"2023-12-09","2024-01-06",352
59156,10904,85158,"2023-12-09","2024-01-06",352
59085,2730,22316,"2023-12-09","2024-01-06",352
59905,8214,93727,"2023-12-09","2024-01-06",352
55797,31370,74518,"2023-12-09","2024-01-06",352
54522,8305,97724,"2023-12-09","2024-01-06",352
57376,18607,84921,"2023-12-09","2024-01-06",352
59905,8214,93727,"2023-12-09","2024-01-06",352
53220,11660,19978,"2023-12-09","2024-01-06",352
56677,7930,43964,"2023-12-09","2024-01-06",352
58818,23511,28801,"2023-12-09","2024-01-06",352
51981,12080,50885,"2023-12-09","2024-01-06",352
57680,29751,24398,"2023-12-09","2024-01-06",352
55797,31370,74518,"2023-12-09","2024-01-06",352
57317,3968,90207,"2023-12-09","2024-01-06",352
55871,9170,46585,"2023-12-09","2024-01-06",352
57317,3968,90207,"2023-12-09","2024-01-06",352
52296,33107,92913,"2023-12-09","2024-01-06",352
57376,18607,84921,"2023-12-09","2024-01-06",352
55871,9170,46585,"2023-12-09","2024-01-06",352
50162,4443,2575,"2023-12-09","2024-01-06",352
56677,7930,43964,"2023-12-09","2024-01-06",352
52078,21744,54171,"2023-12-09","2024-01-06",352
53220,11660,19978,"2023-12-09","2024-01-06",352
52775,2143,67081,"2023-12-09","2024-01-06",352
51981,12080,50885,"2023-12-09","2024-01-06",352
54721,15195,59701,"2023-12-09","2024-01-06",352
59182,21623,77702,"2023-12-09","2024-01-06",352
50384,21785,65809,"2023-12-09","2024-01-06",352
58818,23511,28801,"2023-12-09","2024-01-06",352
56285,31140,81252,"2023-12-09","2024-01-06",352
52775,2143,67081,"2023-12-09","2024-01-06",352
58863,26951,25773,"2023-12-09","2024-01-06",352
58863,26951,25773,"2023-12-09","2024-01-06",352
59085,2730,22316,"2023-12-09","2024-01-06",352
52296,33107,92913,"2023-12-09","2024-01-06",352
57680,29751,24398,"2023-12-09","2024-01-06",352
54721,15195,59701,"2023-12-09","2024-01-06",352
52078,21744,54171,"2023-12-09","2024-01-06",352
59156,10904,85158,"2023-12-09","2024-01-06",352
50162,4443,2575,"2023-12-09","2024-01-06",352
56206,27678,37124,"2023-12-10","2024-01-07",351
59525,31199,93018,"2023-12-10","2024-01-07",351
51927,8441,82169,"2023-12-10","2024-01-07",351
56110,15591,99756,"2023-12-10","2024-01-07",351
53069,19652,46341,"2023-12-10","2024-01-07",351
54148,2996,42344,"2023-12-10","2024-01-07",351
55294,3577,75496,"2023-12-10","2024-01-07",351
55982,6626,66463,"2023-12-10","2024-01-07",351
52119,19818,62570,"2023-12-10","2024-01-07",351
59525,31199,93018,"2023-12-10","2024-01-07",351
54019,31871,20726,"2023-12-10","2024-01-07",351
56231,10789,65007,"2023-12-10","2024-01-07",351
57425,12163,57448,"2023-12-10","2024-01-07",351
59771,24701,26638,"2023-12-10","2024-01-07",351
56206,27678,37124,"2023-12-10","2024-01-07",351
53928,14670,15466,"2023-12-10","2024-01-07",351
53110,3494,70158,"2023-12-10","2024-01-07",351
56110,15591,99756,"2023-12-10","2024-01-07",351
50781,13041,24836,"2023-12-10","2024-01-07",351
58414,31091,6242,"2023-12-10","2024-01-07",351
58414,31091,6242,"2023-12-10","2024-01-07",351
53928,14670,15466,"2023-12-10","2024-01-07",351
55358,32204,66535,"2023-12-10","2024-01-07",351
50641,30019,16288,"2023-12-10","2024-01-07",351
51718,4484,44515,"2023-12-10","2024-01-07",351
50426,13184,1161,"2023-12-10","2024-01-07",351
52119,19818,62570,"2023-12-10","2024-01-07",351
58790,8253,52647,"2023-12-10","2024-01-07",351
59411,30220,48705,"2023-12-10","2024-01-07",351
57425,12163,57448,"2023-12-10","2024-01-07",351
58315,6504,53025,"2023-12-10","2024-01-07",351
50426,13184,1161,"2023-12-10","2024-01-07",351
55284,1664,19925,"2023-12-10","2024-01-07",351
53110,3494,70158,"2023-12-10","2024-01-07",351
51400,28459,99391,"2023-12-10","2024-01-07",351
58790,8253,52647,"2023-12-10","2024-01-07",351
54945,12894,71352,"2023-12-10","2024-01-07",351
55358,32204,66535,"2023-12-10","2024-01-07",351
50781,13041,24836,"2023-12-10","2024-01-07",351
51718,4484,44515,"2023-12-10","2024-01-07",351
53069,19652,46341,"2023-12-10","2024-01-07",351
59411,30220,48705,"2023-12-10","2024-01-07",351
57271,8954,58369,"2023-12-10","2024-01-07",351
58315,6504,53025,"2023-12-10","2024-01-07",351
54019,31871,20726,"2023-12-10","2024-01-07",351
59771,24701,26638,"2023-12-10","2024-01-07",351
57271,8954,58369,"2023-12-10","2024-01-07",351
54945,12894,71352,"2023-12-10","2024-01-07",351
55284,1664,19925,"2023-12-10","2024-01-07",351
51400,28459,99391,"2023-12-10","2024-01-07",351
50641,30019,16288,"2023-12-10","2024-01-07",351
54148,2996,42344,"2023-12-10","2024-01-07",351
56231,10789,65007,"2023-12-10","2024-01-07",351
55294,3577,75496,"2023-12-10","2024-01-07",351
55982,6626,66463,"2023-12-10","2024-01-07",351
51927,8441,82169,"2023-12-10","2024-01-07",351
53743,27433,25849,"2023-12-11","2024-01-08",350
58963,3148,35253,"2023-12-11","2024-01-08",350
55409,17786,94749,"2023-12-11","2024-01-08",350
54029,5726,84044,"2023-12-11","2024-01-08",350
59502,27222,10243,"2023-12-11","2024-01-08",350
50387,8312,81188,"2023-12-11","2024-01-08",350
57273,15058,87,"2023-12-11","2024-01-08",350
58952,8327,44342,"2023-12-11","2024-01-08",350
58963,3148,35253,"2023-12-11","2024-01-08",350
54814,5814,31410,"2023-12-11","2024-01-08",350
58952,8327,44342,"2023-12-11","2024-01-08",350
57127,7928,30391,"2023-12-11","2024-01-08",350
52968,32209,44656,"2023-12-11","2024-01-08",350
57273,15058,87,"2023-12-11","2024-01-08",350
59882,4057,54494,"2023-12-11","2024-01-08",350
57841,14414,77526,"2023-12-11","2024-01-08",350
53451,199,65775,"2023-12-11","2024-01-08",350
55192,22948,96948,"2023-12-11","2024-01-08",350
59796,8030,6862,"2023-12-11","2024-01-08",350
57127,7928,30391,"2023-12-11","2024-01-08",350
56261,21582,85405,"2023-12-11","2024-01-08",350
56288,13982,41262,"2023-12-11","2024-01-08",350
50375,12096,66498,"2023-12-11","2024-01-08",350
52906,2565,83217,"2023-12-11","2024-01-08",350
54029,5726,84044,"2023-12-11","2024-01-08",350
56080,3014,18041,"2023-12-11","2024-01-08",350
50247,22715,66755,"2023-12-11","2024-01-08",350
51646,25288,3447,"2023-12-11","2024-01-08",350
57841,14414,77526,"2023-12-11","2024-01-08",350
50197,11019,74594,"2023-12-11","2024-01-08",350
50247,22715,66755,"2023-12-11","2024-01-08",350
50197,11019,74594,"2023-12-11","2024-01-08",350
52075,11624,1755,"2023-12-11","2024-01-08",350
58436,17242,36592,"2023-12-11","2024-01-08",350
52097,29298,76550,"2023-12-11","2024-01-08",350
58514,10846,40203,"2023-12-11","2024-01-08",350
50443,17310,5947,"2023-12-11","2024-01-08",350
51224,12554,30756,"2023-12-11","2024-01-08",350
58514,10846,40203,"2023-12-11","2024-01-08",350
50443,17310,5947,"2023-12-11","2024-01-08",350
56261,21582,85405,"2023-12-11","2024-01-08",350
59502,27222,10243,"2023-12-11","2024-01-08",350
54814,5814,31410,"2023-12-11","2024-01-08",350
52097,29298,76550,"2023-12-11","2024-01-08",350
51224,12554,30756,"2023-12-11","2024-01-08",350
56288,13982,41262,"2023-12-11","2024-01-08",350
52075,11624,1755,"2023-12-11","2024-01-08",350
54967,31339,5097,"2023-12-11","2024-01-08",350
54969,30847,17066,"2023-12-11","2024-01-08",350
52968,32209,44656,"2023-12-11","2024-01-08",350
59796,8030,6862,"2023-12-11","2024-01-08",350
55409,17786,94749,"2023-12-11","2024-01-08",350
54969,30847,17066,"2023-12-11","2024-01-08",350
54967,31339,5097,"2023-12-11","2024-01-08",350
56080,3014,18041,"2023-12-11","2024-01-08",350
59882,4057,54494,"2023-12-11","2024-01-08",350
52906,2565,83217,"2023-12-11","2024-01-08",350
53743,27433,25849,"2023-12-11","2024-01-08",350
50387,8312,81188,"2023-12-11","2024-01-08",350
51646,25288,3447,"2023-12-11","2024-01-08",350
58436,17242,36592,"2023-12-11","2024-01-08",350
50375,12096,66498,"2023-12-11","2024-01-08",350
53451,199,65775,"2023-12-11","2024-01-08",350
55192,22948,96948,"2023-12-11","2024-01-08",350
55619,28579,77558,"2023-12-12","2024-01-09",349
51862,29960,79332,"2023-12-12","2024-01-09",349
56470,1173,76588,"2023-12-12","2024-01-09",349
51048,3553,12323,"2023-12-12","2024-01-09",349
52127,8443,27449,"2023-12-12","2024-01-09",349
54299,4681,99837,"2023-12-12","2024-01-09",349
58753,13703,38650,"2023-12-12","2024-01-09",349
57434,26798,17822,"2023-12-12","2024-01-09",349
50481,19724,56987,"2023-12-12","2024-01-09",349
50120,2458,35782,"2023-12-12","2024-01-09",349
55330,1482,97448,"2023-12-12","2024-01-09",349
56126,25722,85931,"2023-12-12","2024-01-09",349
55414,29826,71274,"2023-12-12","2024-01-09",349
54190,28487,7747,"2023-12-12","2024-01-09",349
58189,30140,32882,"2023-12-12","2024-01-09",349
56153,8612,81781,"2023-12-12","2024-01-09",349
52420,12503,90265,"2023-12-12","2024-01-09",349
50831,14010,61091,"2023-12-12","2024-01-09",349
