"cardid","readerid","expirationdate","daysleft"
3945,3945,"2020-01-21",-1798
20542,20542,"2020-01-21",-1798
5430,5430,"2020-01-22",-1797
11893,11893,"2020-01-22",-1797
27854,27854,"2020-01-22",-1797
16636,16636,"2020-01-22",-1797
5519,5519,"2020-01-22",-1797
27016,27016,"2020-01-23",-1796
19378,19378,"2020-01-23",-1796
33162,33162,"2020-01-23",-1796
15065,15065,"2020-01-23",-1796
27565,27565,"2020-01-23",-1796
22100,22100,"2020-01-24",-1795
32287,32287,"2020-01-24",-1795
24526,24526,"2020-01-24",-1795
13600,13600,"2020-01-24",-1795
29649,29649,"2020-01-24",-1795
16382,16382,"2020-01-25",-1794
29554,29554,"2020-01-25",-1794
20037,20037,"2020-01-25",-1794
16144,16144,"2020-01-25",-1794
232,232,"2020-01-25",-1794
13185,13185,"2020-01-25",-1794
28058,28058,"2020-01-26",-1793
11693,11693,"2020-01-26",-1793
2095,2095,"2020-01-26",-1793
28318,28318,"2020-01-26",-1793
3088,3088,"2020-01-27",-1792
9491,9491,"2020-01-27",-1792
1582,1582,"2020-01-27",-1792
26114,26114,"2020-01-27",-1792
15034,15034,"2020-01-27",-1792
3607,3607,"2020-01-29",-1790
20742,20742,"2020-01-29",-1790
20840,20840,"2020-01-29",-1790
24075,24075,"2020-01-29",-1790
31021,31021,"2020-01-29",-1790
16423,16423,"2020-01-30",-1789
21219,21219,"2020-01-30",-1789
15797,15797,"2020-01-30",-1789
31198,31198,"2020-01-30",-1789
12417,12417,"2020-01-30",-1789
13270,13270,"2020-01-30",-1789
25868,25868,"2020-01-30",-1789
28415,28415,"2020-01-31",-1788
25175,25175,"2020-01-31",-1788
18798,18798,"2020-01-31",-1788
732,732,"2020-01-31",-1788
29547,29547,"2020-01-31",-1788
17505,17505,"2020-02-01",-1787
23089,23089,"2020-02-01",-1787
16517,16517,"2020-02-01",-1787
25019,25019,"2020-02-02",-1786
9348,9348,"2020-02-02",-1786
22775,22775,"2020-02-02",-1786
21613,21613,"2020-02-02",-1786
22441,22441,"2020-02-02",-1786
779,779,"2020-02-02",-1786
1992,1992,"2020-02-03",-1785
26766,26766,"2020-02-03",-1785
13268,13268,"2020-02-03",-1785
1513,1513,"2020-02-03",-1785
19560,19560,"2020-02-03",-1785
7073,7073,"2020-02-03",-1785
14780,14780,"2020-02-04",-1784
21678,21678,"2020-02-04",-1784
33205,33205,"2020-02-04",-1784
8862,8862,"2020-02-04",-1784
10668,10668,"2020-02-04",-1784
21676,21676,"2020-02-05",-1783
26291,26291,"2020-02-05",-1783
13067,13067,"2020-02-05",-1783
29292,29292,"2020-02-05",-1783
1098,1098,"2020-02-05",-1783
12165,12165,"2020-02-05",-1783
25316,25316,"2020-02-05",-1783
13900,13900,"2020-02-05",-1783
21596,21596,"2020-02-06",-1782
9910,9910,"2020-02-06",-1782
33021,33021,"2020-02-06",-1782
7446,7446,"2020-02-06",-1782
14515,14515,"2020-02-06",-1782
13756,13756,"2020-02-06",-1782
23840,23840,"2020-02-06",-1782
29334,29334,"2020-02-06",-1782
30097,30097,"2020-02-06",-1782
12568,12568,"2020-02-07",-1781
18812,18812,"2020-02-07",-1781
32794,32794,"2020-02-08",-1780
18712,18712,"2020-02-08",-1780
753,753,"2020-02-09",-1779
6901,6901,"2020-02-09",-1779
24176,24176,"2020-02-09",-1779
26325,26325,"2020-02-09",-1779
1367,1367,"2020-02-10",-1778
15891,15891,"2020-02-10",-1778
22449,22449,"2020-02-10",-1778
7200,7200,"2020-02-11",-1777
22786,22786,"2020-02-11",-1777
21378,21378,"2020-02-11",-1777
17222,17222,"2020-02-11",-1777
12108,12108,"2020-02-12",-1776
27163,27163,"2020-02-12",-1776
31305,31305,"2020-02-12",-1776
10928,10928,"2020-02-12",-1776
20287,20287,"2020-02-12",-1776
4480,4480,"2020-02-12",-1776
2508,2508,"2020-02-13",-1775
19714,19714,"2020-02-13",-1775
5432,5432,"2020-02-13",-1775
14539,14539,"2020-02-13",-1775
6292,6292,"2020-02-13",-1775
22317,22317,"2020-02-14",-1774
26599,26599,"2020-02-14",-1774
3748,3748,"2020-02-15",-1773
29759,29759,"2020-02-15",-1773
13449,13449,"2020-02-15",-1773
1071,1071,"2020-02-16",-1772
12510,12510,"2020-02-16",-1772
15897,15897,"2020-02-16",-1772
32760,32760,"2020-02-16",-1772
20638,20638,"2020-02-17",-1771
12785,12785,"2020-02-17",-1771
18963,18963,"2020-02-17",-1771
17031,17031,"2020-02-18",-1770
15651,15651,"2020-02-18",-1770
24153,24153,"2020-02-20",-1768
20747,20747,"2020-02-20",-1768
28322,28322,"2020-02-20",-1768
24455,24455,"2020-02-21",-1767
1899,1899,"2020-02-21",-1767
32616,32616,"2020-02-22",-1766
21244,21244,"2020-02-22",-1766
25475,25475,"2020-02-22",-1766
29104,29104,"2020-02-23",-1765
12069,12069,"2020-02-23",-1765
4143,4143,"2020-02-23",-1765
32922,32922,"2020-02-23",-1765
32680,32680,"2020-02-24",-1764
14178,14178,"2020-02-24",-1764
22085,22085,"2020-02-24",-1764
1208,1208,"2020-02-25",-1763
3732,3732,"2020-02-25",-1763
10890,10890,"2020-02-25",-1763
18119,18119,"2020-02-25",-1763
23449,23449,"2020-02-25",-1763
4870,4870,"2020-02-26",-1762
19058,19058,"2020-02-26",-1762
21409,21409,"2020-02-26",-1762
21798,21798,"2020-02-26",-1762
19098,19098,"2020-02-26",-1762
4465,4465,"2020-02-27",-1761
14789,14789,"2020-02-27",-1761
32467,32467,"2020-02-27",-1761
32067,32067,"2020-02-28",-1760
6245,6245,"2020-02-28",-1760
11872,11872,"2020-02-28",-1760
25626,25626,"2020-02-28",-1760
26253,26253,"2020-02-28",-1760
24652,24652,"2020-02-29",-1759
23647,23647,"2020-02-29",-1759
17746,17746,"2020-02-29",-1759
6219,6219,"2020-02-29",-1759
3444,3444,"2020-02-29",-1759
7960,7960,"2020-02-29",-1759
5460,5460,"2020-03-01",-1758
25103,25103,"2020-03-01",-1758
27394,27394,"2020-03-01",-1758
20003,20003,"2020-03-02",-1757
22366,22366,"2020-03-02",-1757
10487,10487,"2020-03-02",-1757
25938,25938,"2020-03-03",-1756
24181,24181,"2020-03-03",-1756
4156,4156,"2020-03-03",-1756
5874,5874,"2020-03-03",-1756
2007,2007,"2020-03-03",-1756
19034,19034,"2020-03-04",-1755
14994,14994,"2020-03-04",-1755
8881,8881,"2020-03-04",-1755
15059,15059,"2020-03-04",-1755
25101,25101,"2020-03-04",-1755
14858,14858,"2020-03-05",-1754
32326,32326,"2020-03-05",-1754
33189,33189,"2020-03-05",-1754
11690,11690,"2020-03-05",-1754
27572,27572,"2020-03-05",-1754
30977,30977,"2020-03-05",-1754
13593,13593,"2020-03-05",-1754
25427,25427,"2020-03-06",-1753
30552,30552,"2020-03-06",-1753
22612,22612,"2020-03-06",-1753
32844,32844,"2020-03-07",-1752
16071,16071,"2020-03-07",-1752
20153,20153,"2020-03-07",-1752
9993,9993,"2020-03-07",-1752
31487,31487,"2020-03-07",-1752
21270,21270,"2020-03-07",-1752
18015,18015,"2020-03-07",-1752
28807,28807,"2020-03-07",-1752
2489,2489,"2020-03-07",-1752
28167,28167,"2020-03-07",-1752
16798,16798,"2020-03-08",-1751
29350,29350,"2020-03-08",-1751
10540,10540,"2020-03-08",-1751
8867,8867,"2020-03-08",-1751
6502,6502,"2020-03-08",-1751
28619,28619,"2020-03-08",-1751
5858,5858,"2020-03-08",-1751
5761,5761,"2020-03-09",-1750
29604,29604,"2020-03-09",-1750
19441,19441,"2020-03-09",-1750
33236,33236,"2020-03-10",-1749
7005,7005,"2020-03-10",-1749
19266,19266,"2020-03-10",-1749
17024,17024,"2020-03-10",-1749
12475,12475,"2020-03-11",-1748
2960,2960,"2020-03-11",-1748
24416,24416,"2020-03-11",-1748
31645,31645,"2020-03-12",-1747
23519,23519,"2020-03-12",-1747
21143,21143,"2020-03-12",-1747
9086,9086,"2020-03-12",-1747
1067,1067,"2020-03-12",-1747
7724,7724,"2020-03-13",-1746
11409,11409,"2020-03-13",-1746
18379,18379,"2020-03-13",-1746
31858,31858,"2020-03-14",-1745
23484,23484,"2020-03-14",-1745
13633,13633,"2020-03-14",-1745
13934,13934,"2020-03-15",-1744
24306,24306,"2020-03-15",-1744
27453,27453,"2020-03-15",-1744
31750,31750,"2020-03-15",-1744
6871,6871,"2020-03-15",-1744
24126,24126,"2020-03-15",-1744
8772,8772,"2020-03-15",-1744
10592,10592,"2020-03-15",-1744
16774,16774,"2020-03-15",-1744
29794,29794,"2020-03-16",-1743
10793,10793,"2020-03-16",-1743
16777,16777,"2020-03-16",-1743
26666,26666,"2020-03-16",-1743
10167,10167,"2020-03-17",-1742
17700,17700,"2020-03-17",-1742
17499,17499,"2020-03-17",-1742
30669,30669,"2020-03-17",-1742
10447,10447,"2020-03-18",-1741
11903,11903,"2020-03-18",-1741
2432,2432,"2020-03-18",-1741
25491,25491,"2020-03-19",-1740
337,337,"2020-03-19",-1740
30120,30120,"2020-03-20",-1739
10784,10784,"2020-03-20",-1739
7261,7261,"2020-03-20",-1739
23478,23478,"2020-03-20",-1739
18960,18960,"2020-03-21",-1738
12467,12467,"2020-03-21",-1738
23885,23885,"2020-03-21",-1738
24146,24146,"2020-03-21",-1738
11624,11624,"2020-03-21",-1738
16405,16405,"2020-03-22",-1737
16094,16094,"2020-03-22",-1737
27147,27147,"2020-03-22",-1737
18764,18764,"2020-03-22",-1737
30281,30281,"2020-03-23",-1736
15656,15656,"2020-03-23",-1736
19140,19140,"2020-03-23",-1736
23772,23772,"2020-03-24",-1735
13337,13337,"2020-03-24",-1735
9679,9679,"2020-03-24",-1735
991,991,"2020-03-24",-1735
9851,9851,"2020-03-24",-1735
25988,25988,"2020-03-24",-1735
22681,22681,"2020-03-25",-1734
3543,3543,"2020-03-25",-1734
6558,6558,"2020-03-25",-1734
16817,16817,"2020-03-25",-1734
15198,15198,"2020-03-25",-1734
24711,24711,"2020-03-25",-1734
27067,27067,"2020-03-26",-1733
33102,33102,"2020-03-26",-1733
4222,4222,"2020-03-26",-1733
18695,18695,"2020-03-26",-1733
21481,21481,"2020-03-26",-1733
25166,25166,"2020-03-26",-1733
10903,10903,"2020-03-26",-1733
10283,10283,"2020-03-26",-1733
25806,25806,"2020-03-27",-1732
6271,6271,"2020-03-27",-1732
25898,25898,"2020-03-27",-1732
21526,21526,"2020-03-28",-1731
24893,24893,"2020-03-28",-1731
5524,5524,"2020-03-28",-1731
13800,13800,"2020-03-28",-1731
13563,13563,"2020-03-28",-1731
23633,23633,"2020-03-28",-1731
9760,9760,"2020-03-28",-1731
14401,14401,"2020-03-28",-1731
4413,4413,"2020-03-29",-1730
26828,26828,"2020-03-29",-1730
11105,11105,"2020-03-29",-1730
4040,4040,"2020-03-29",-1730
29873,29873,"2020-03-30",-1729
25209,25209,"2020-03-30",-1729
28863,28863,"2020-03-30",-1729
8965,8965,"2020-03-30",-1729
30251,30251,"2020-03-31",-1728
14482,14482,"2020-03-31",-1728
12959,12959,"2020-03-31",-1728
1244,1244,"2020-03-31",-1728
1193,1193,"2020-03-31",-1728
19703,19703,"2020-03-31",-1728
14055,14055,"2020-03-31",-1728
2313,2313,"2020-04-01",-1727
32727,32727,"2020-04-01",-1727
26429,26429,"2020-04-01",-1727
14532,14532,"2020-04-01",-1727
13993,13993,"2020-04-01",-1727
27858,27858,"2020-04-01",-1727
650,650,"2020-04-01",-1727
32591,32591,"2020-04-01",-1727
21652,21652,"2020-04-02",-1726
21338,21338,"2020-04-02",-1726
14722,14722,"2020-04-02",-1726
1811,1811,"2020-04-02",-1726
9618,9618,"2020-04-03",-1725
19324,19324,"2020-04-03",-1725
3963,3963,"2020-04-03",-1725
7744,7744,"2020-04-03",-1725
21460,21460,"2020-04-04",-1724
3609,3609,"2020-04-04",-1724
19079,19079,"2020-04-04",-1724
4315,4315,"2020-04-04",-1724
10044,10044,"2020-04-04",-1724
12201,12201,"2020-04-04",-1724
25999,25999,"2020-04-04",-1724
9954,9954,"2020-04-05",-1723
397,397,"2020-04-05",-1723
8041,8041,"2020-04-05",-1723
26625,26625,"2020-04-05",-1723
1194,1194,"2020-04-05",-1723
27206,27206,"2020-04-05",-1723
12302,12302,"2020-04-06",-1722
20607,20607,"2020-04-06",-1722
29303,29303,"2020-04-06",-1722
6052,6052,"2020-04-06",-1722
20233,20233,"2020-04-06",-1722
7347,7347,"2020-04-06",-1722
15752,15752,"2020-04-06",-1722
31896,31896,"2020-04-06",-1722
25414,25414,"2020-04-06",-1722
17639,17639,"2020-04-06",-1722
32512,32512,"2020-04-06",-1722
8356,8356,"2020-04-07",-1721
11082,11082,"2020-04-07",-1721
29550,29550,"2020-04-07",-1721
9968,9968,"2020-04-07",-1721
10365,10365,"2020-04-08",-1720
16811,16811,"2020-04-08",-1720
19083,19083,"2020-04-08",-1720
17748,17748,"2020-04-10",-1718
11967,11967,"2020-04-10",-1718
4937,4937,"2020-04-10",-1718
6887,6887,"2020-04-11",-1717
32559,32559,"2020-04-11",-1717
21449,21449,"2020-04-11",-1717
30050,30050,"2020-04-11",-1717
24147,24147,"2020-04-12",-1716
26834,26834,"2020-04-12",-1716
4182,4182,"2020-04-12",-1716
13370,13370,"2020-04-12",-1716
10731,10731,"2020-04-12",-1716
23998,23998,"2020-04-12",-1716
20025,20025,"2020-04-12",-1716
26562,26562,"2020-04-13",-1715
8434,8434,"2020-04-13",-1715
28720,28720,"2020-04-13",-1715
15283,15283,"2020-04-13",-1715
20674,20674,"2020-04-13",-1715
24245,24245,"2020-04-13",-1715
12664,12664,"2020-04-13",-1715
15254,15254,"2020-04-14",-1714
1154,1154,"2020-04-14",-1714
25215,25215,"2020-04-14",-1714
33233,33233,"2020-04-15",-1713
1639,1639,"2020-04-15",-1713
26959,26959,"2020-04-16",-1712
24261,24261,"2020-04-16",-1712
3709,3709,"2020-04-16",-1712
15279,15279,"2020-04-16",-1712
22205,22205,"2020-04-16",-1712
30887,30887,"2020-04-16",-1712
1724,1724,"2020-04-16",-1712
12196,12196,"2020-04-17",-1711
31217,31217,"2020-04-17",-1711
21020,21020,"2020-04-17",-1711
29293,29293,"2020-04-17",-1711
5337,5337,"2020-04-17",-1711
12502,12502,"2020-04-17",-1711
20709,20709,"2020-04-18",-1710
3047,3047,"2020-04-18",-1710
13195,13195,"2020-04-18",-1710
17232,17232,"2020-04-19",-1709
16961,16961,"2020-04-19",-1709
17842,17842,"2020-04-19",-1709
5576,5576,"2020-04-19",-1709
3244,3244,"2020-04-20",-1708
14277,14277,"2020-04-20",-1708
21228,21228,"2020-04-20",-1708
8613,8613,"2020-04-20",-1708
28273,28273,"2020-04-20",-1708
29843,29843,"2020-04-20",-1708
10202,10202,"2020-04-21",-1707
29052,29052,"2020-04-21",-1707
25862,25862,"2020-04-21",-1707
30813,30813,"2020-04-21",-1707
23323,23323,"2020-04-21",-1707
31035,31035,"2020-04-21",-1707
1845,1845,"2020-04-21",-1707
21176,21176,"2020-04-21",-1707
14824,14824,"2020-04-21",-1707
6122,6122,"2020-04-21",-1707
13763,13763,"2020-04-21",-1707
6621,6621,"2020-04-22",-1706
28861,28861,"2020-04-22",-1706
11997,11997,"2020-04-22",-1706
23606,23606,"2020-04-22",-1706
21141,21141,"2020-04-22",-1706
11716,11716,"2020-04-23",-1705
743,743,"2020-04-23",-1705
2181,2181,"2020-04-24",-1704
18775,18775,"2020-04-24",-1704
14701,14701,"2020-04-24",-1704
19356,19356,"2020-04-24",-1704
18781,18781,"2020-04-24",-1704
21887,21887,"2020-04-25",-1703
27679,27679,"2020-04-25",-1703
30280,30280,"2020-04-25",-1703
18436,18436,"2020-04-25",-1703
1229,1229,"2020-04-26",-1702
13789,13789,"2020-04-26",-1702
8037,8037,"2020-04-26",-1702
24279,24279,"2020-04-27",-1701
26884,26884,"2020-04-27",-1701
17755,17755,"2020-04-27",-1701
27269,27269,"2020-04-28",-1700
28383,28383,"2020-04-28",-1700
32322,32322,"2020-04-28",-1700
7083,7083,"2020-04-29",-1699
8447,8447,"2020-04-29",-1699
19677,19677,"2020-04-29",-1699
28243,28243,"2020-04-29",-1699
29519,29519,"2020-04-29",-1699
29472,29472,"2020-04-29",-1699
20275,20275,"2020-04-30",-1698
20853,20853,"2020-04-30",-1698
30075,30075,"2020-05-01",-1697
27065,27065,"2020-05-01",-1697
6258,6258,"2020-05-01",-1697
17099,17099,"2020-05-01",-1697
28204,28204,"2020-05-01",-1697
11222,11222,"2020-05-01",-1697
12040,12040,"2020-05-01",-1697
5983,5983,"2020-05-01",-1697
20074,20074,"2020-05-02",-1696
18464,18464,"2020-05-02",-1696
1114,1114,"2020-05-02",-1696
32270,32270,"2020-05-02",-1696
10547,10547,"2020-05-02",-1696
10032,10032,"2020-05-02",-1696
13319,13319,"2020-05-03",-1695
32954,32954,"2020-05-03",-1695
13656,13656,"2020-05-03",-1695
29552,29552,"2020-05-04",-1694
32577,32577,"2020-05-05",-1693
12518,12518,"2020-05-05",-1693
12953,12953,"2020-05-05",-1693
3489,3489,"2020-05-05",-1693
26648,26648,"2020-05-06",-1692
845,845,"2020-05-06",-1692
12611,12611,"2020-05-06",-1692
687,687,"2020-05-06",-1692
15582,15582,"2020-05-07",-1691
28780,28780,"2020-05-07",-1691
11552,11552,"2020-05-07",-1691
13240,13240,"2020-05-07",-1691
6908,6908,"2020-05-07",-1691
27438,27438,"2020-05-07",-1691
23489,23489,"2020-05-07",-1691
12850,12850,"2020-05-08",-1690
6973,6973,"2020-05-08",-1690
5428,5428,"2020-05-08",-1690
22031,22031,"2020-05-08",-1690
13535,13535,"2020-05-09",-1689
30240,30240,"2020-05-09",-1689
30864,30864,"2020-05-09",-1689
24251,24251,"2020-05-09",-1689
22713,22713,"2020-05-10",-1688
3076,3076,"2020-05-10",-1688
24211,24211,"2020-05-10",-1688
30270,30270,"2020-05-10",-1688
16938,16938,"2020-05-11",-1687
3400,3400,"2020-05-11",-1687
23060,23060,"2020-05-11",-1687
2335,2335,"2020-05-11",-1687
1490,1490,"2020-05-11",-1687
7090,7090,"2020-05-12",-1686
21690,21690,"2020-05-12",-1686
23473,23473,"2020-05-12",-1686
3353,3353,"2020-05-12",-1686
24700,24700,"2020-05-12",-1686
8144,8144,"2020-05-12",-1686
16338,16338,"2020-05-12",-1686
3126,3126,"2020-05-12",-1686
13727,13727,"2020-05-12",-1686
10238,10238,"2020-05-13",-1685
31266,31266,"2020-05-13",-1685
12029,12029,"2020-05-13",-1685
24268,24268,"2020-05-13",-1685
29857,29857,"2020-05-13",-1685
9841,9841,"2020-05-13",-1685
10107,10107,"2020-05-13",-1685
5909,5909,"2020-05-14",-1684
8325,8325,"2020-05-14",-1684
7153,7153,"2020-05-14",-1684
4348,4348,"2020-05-14",-1684
30825,30825,"2020-05-14",-1684
32060,32060,"2020-05-15",-1683
4883,4883,"2020-05-15",-1683
10631,10631,"2020-05-15",-1683
1266,1266,"2020-05-15",-1683
2456,2456,"2020-05-15",-1683
26164,26164,"2020-05-16",-1682
24392,24392,"2020-05-16",-1682
28818,28818,"2020-05-16",-1682
24323,24323,"2020-05-17",-1681
32958,32958,"2020-05-18",-1680
18541,18541,"2020-05-18",-1680
22942,22942,"2020-05-18",-1680
17597,17597,"2020-05-19",-1679
32321,32321,"2020-05-19",-1679
18567,18567,"2020-05-19",-1679
28080,28080,"2020-05-19",-1679
33140,33140,"2020-05-19",-1679
11976,11976,"2020-05-19",-1679
28019,28019,"2020-05-20",-1678
12873,12873,"2020-05-21",-1677
7443,7443,"2020-05-22",-1676
20078,20078,"2020-05-22",-1676
27960,27960,"2020-05-22",-1676
20191,20191,"2020-05-22",-1676
31768,31768,"2020-05-22",-1676
27105,27105,"2020-05-22",-1676
20341,20341,"2020-05-22",-1676
17239,17239,"2020-05-22",-1676
24503,24503,"2020-05-23",-1675
14673,14673,"2020-05-23",-1675
10824,10824,"2020-05-23",-1675
22370,22370,"2020-05-23",-1675
9820,9820,"2020-05-23",-1675
24496,24496,"2020-05-23",-1675
3823,3823,"2020-05-23",-1675
28554,28554,"2020-05-24",-1674
10846,10846,"2020-05-24",-1674
16469,16469,"2020-05-24",-1674
25106,25106,"2020-05-24",-1674
2448,2448,"2020-05-24",-1674
3062,3062,"2020-05-24",-1674
386,386,"2020-05-25",-1673
27742,27742,"2020-05-25",-1673
30954,30954,"2020-05-25",-1673
5532,5532,"2020-05-25",-1673
9548,9548,"2020-05-26",-1672
2909,2909,"2020-05-26",-1672
25314,25314,"2020-05-26",-1672
17544,17544,"2020-05-26",-1672
489,489,"2020-05-26",-1672
22614,22614,"2020-05-26",-1672
804,804,"2020-05-26",-1672
5157,5157,"2020-05-26",-1672
1600,1600,"2020-05-27",-1671
6222,6222,"2020-05-27",-1671
4666,4666,"2020-05-27",-1671
3111,3111,"2020-05-27",-1671
21311,21311,"2020-05-28",-1670
4409,4409,"2020-05-28",-1670
5658,5658,"2020-05-28",-1670
1175,1175,"2020-05-28",-1670
12390,12390,"2020-05-28",-1670
32775,32775,"2020-05-28",-1670
29732,29732,"2020-05-29",-1669
14165,14165,"2020-05-29",-1669
33207,33207,"2020-05-29",-1669
11640,11640,"2020-05-29",-1669
22861,22861,"2020-05-29",-1669
736,736,"2020-05-30",-1668
26264,26264,"2020-05-30",-1668
13467,13467,"2020-05-30",-1668
11616,11616,"2020-05-30",-1668
8646,8646,"2020-05-31",-1667
16649,16649,"2020-06-01",-1666
353,353,"2020-06-01",-1666
27827,27827,"2020-06-01",-1666
14499,14499,"2020-06-01",-1666
23500,23500,"2020-06-02",-1665
483,483,"2020-06-02",-1665
24122,24122,"2020-06-02",-1665
3286,3286,"2020-06-02",-1665
27185,27185,"2020-06-02",-1665
6270,6270,"2020-06-02",-1665
19974,19974,"2020-06-02",-1665
6793,6793,"2020-06-03",-1664
27955,27955,"2020-06-04",-1663
27338,27338,"2020-06-04",-1663
12068,12068,"2020-06-04",-1663
4024,4024,"2020-06-04",-1663
15747,15747,"2020-06-05",-1662
18863,18863,"2020-06-05",-1662
15878,15878,"2020-06-05",-1662
32038,32038,"2020-06-06",-1661
14671,14671,"2020-06-06",-1661
19600,19600,"2020-06-06",-1661
15505,15505,"2020-06-06",-1661
24661,24661,"2020-06-06",-1661
26520,26520,"2020-06-06",-1661
20130,20130,"2020-06-07",-1660
27755,27755,"2020-06-07",-1660
8571,8571,"2020-06-07",-1660
19149,19149,"2020-06-07",-1660
24786,24786,"2020-06-07",-1660
27014,27014,"2020-06-08",-1659
18765,18765,"2020-06-08",-1659
27914,27914,"2020-06-09",-1658
24193,24193,"2020-06-09",-1658
26403,26403,"2020-06-09",-1658
25357,25357,"2020-06-09",-1658
10700,10700,"2020-06-10",-1657
30455,30455,"2020-06-10",-1657
10345,10345,"2020-06-10",-1657
3606,3606,"2020-06-10",-1657
14884,14884,"2020-06-11",-1656
20761,20761,"2020-06-11",-1656
6428,6428,"2020-06-11",-1656
9637,9637,"2020-06-11",-1656
25371,25371,"2020-06-12",-1655
16074,16074,"2020-06-12",-1655
21692,21692,"2020-06-12",-1655
29203,29203,"2020-06-12",-1655
356,356,"2020-06-13",-1654
22587,22587,"2020-06-13",-1654
3937,3937,"2020-06-13",-1654
32712,32712,"2020-06-13",-1654
23722,23722,"2020-06-13",-1654
14203,14203,"2020-06-13",-1654
26882,26882,"2020-06-13",-1654
4732,4732,"2020-06-13",-1654
23346,23346,"2020-06-14",-1653
20586,20586,"2020-06-14",-1653
10942,10942,"2020-06-14",-1653
18503,18503,"2020-06-14",-1653
23947,23947,"2020-06-14",-1653
11955,11955,"2020-06-15",-1652
26857,26857,"2020-06-15",-1652
15512,15512,"2020-06-16",-1651
5048,5048,"2020-06-16",-1651
1792,1792,"2020-06-16",-1651
22884,22884,"2020-06-17",-1650
27011,27011,"2020-06-17",-1650
23396,23396,"2020-06-17",-1650
13339,13339,"2020-06-17",-1650
20171,20171,"2020-06-17",-1650
24350,24350,"2020-06-17",-1650
30852,30852,"2020-06-18",-1649
20798,20798,"2020-06-18",-1649
29901,29901,"2020-06-18",-1649
7752,7752,"2020-06-18",-1649
31725,31725,"2020-06-19",-1648
14597,14597,"2020-06-19",-1648
335,335,"2020-06-19",-1648
24297,24297,"2020-06-19",-1648
31951,31951,"2020-06-20",-1647
20621,20621,"2020-06-20",-1647
21331,21331,"2020-06-20",-1647
27850,27850,"2020-06-20",-1647
