"notificationid","readerid","message","sentdate","isread","daysunseen"
21170,31086,"Your book is due in 1 week! Please return it on time.","2009-12-31",False,5471
18508,23235,"Your book is due in 1 week! Please return it on time.","2010-01-01",False,5470
43564,4150,"Your book is due in 1 week! Please return it on time.","2010-01-01",False,5470
37888,2357,"Your book is due in 1 week! Please return it on time.","2010-01-01",False,5470
9794,5565,"Your book is due in 1 week! Please return it on time.","2010-01-01",False,5470
1627,25626,"Your book is due in 1 week! Please return it on time.","2010-01-02",False,5469
42185,506,"Your book is due in 1 week! Please return it on time.","2010-01-02",False,5469
21030,106,"Your book is due in 1 week! Please return it on time.","2010-01-02",False,5469
44472,19237,"Your book is due in 1 week! Please return it on time.","2010-01-02",False,5469
27075,16493,"Your book is due in 1 week! Please return it on time.","2010-01-02",False,5469
37738,9535,"Your book is due in 1 week! Please return it on time.","2010-01-02",False,5469
15222,10642,"Your book is due in 1 week! Please return it on time.","2010-01-03",False,5468
7038,13871,"Your book is due in 1 week! Please return it on time.","2010-01-04",False,5467
10365,139,"Your book is due in 1 week! Please return it on time.","2010-01-04",False,5467
11910,4569,"Your book is due in 1 week! Please return it on time.","2010-01-04",False,5467
597,26148,"Your book is due in 1 week! Please return it on time.","2010-01-05",False,5466
35963,27202,"Your book is due in 1 week! Please return it on time.","2010-01-05",False,5466
26364,29525,"Your book is due in 1 week! Please return it on time.","2010-01-05",False,5466
29355,7843,"Your book is due in 1 week! Please return it on time.","2010-01-05",False,5466
25505,19075,"Your book is due in 1 week! Please return it on time.","2010-01-06",False,5465
39246,2527,"Your book is due in 1 week! Please return it on time.","2010-01-06",False,5465
45879,30133,"Your book is due in 1 week! Please return it on time.","2010-01-07",False,5464
28201,11501,"Your book is due in 1 week! Please return it on time.","2010-01-07",False,5464
1488,4341,"Your book is due in 1 week! Please return it on time.","2010-01-07",False,5464
40716,13266,"Your book is due in 1 week! Please return it on time.","2010-01-07",False,5464
24700,25410,"Your book is due in 1 week! Please return it on time.","2010-01-07",False,5464
23054,32003,"Your book is due in 1 week! Please return it on time.","2010-01-08",False,5463
9673,16267,"Your book is due in 1 week! Please return it on time.","2010-01-08",False,5463
47940,31073,"Your book is due in 1 week! Please return it on time.","2010-01-08",False,5463
24033,4288,"Your book is due in 1 week! Please return it on time.","2010-01-08",False,5463
27177,7979,"Your book is due in 1 week! Please return it on time.","2010-01-08",False,5463
21240,17348,"Your book is due in 1 week! Please return it on time.","2010-01-08",False,5463
46415,22668,"Your book is due in 1 week! Please return it on time.","2010-01-09",False,5462
29979,18634,"Your book is due in 1 week! Please return it on time.","2010-01-09",False,5462
46826,23319,"Your book is due in 1 week! Please return it on time.","2010-01-10",False,5461
4768,7928,"Your book is due in 1 week! Please return it on time.","2010-01-10",False,5461
47116,13633,"Your book is due in 1 week! Please return it on time.","2010-01-10",False,5461
23439,9250,"Your book is due in 1 week! Please return it on time.","2010-01-10",False,5461
10329,23894,"Your book is due in 1 week! Please return it on time.","2010-01-10",False,5461
47415,30434,"Your book is due in 1 week! Please return it on time.","2010-01-11",False,5460
3350,2830,"Your book is due in 1 week! Please return it on time.","2010-01-11",False,5460
30594,7685,"Your book is due in 1 week! Please return it on time.","2010-01-11",False,5460
44180,6487,"Your book is due in 1 week! Please return it on time.","2010-01-11",False,5460
45652,17929,"Your book is due in 1 week! Please return it on time.","2010-01-11",False,5460
690,2106,"Your book is due in 1 week! Please return it on time.","2010-01-11",False,5460
10258,13316,"Your book is due in 1 week! Please return it on time.","2010-01-11",False,5460
16320,12041,"Your book is due in 1 week! Please return it on time.","2010-01-11",False,5460
5723,2508,"Your book is due in 1 week! Please return it on time.","2010-01-11",False,5460
26383,15071,"Your book is due in 1 week! Please return it on time.","2010-01-12",False,5459
16305,21489,"Your book is due in 1 week! Please return it on time.","2010-01-12",False,5459
30329,3472,"Your book is due in 1 week! Please return it on time.","2010-01-12",False,5459
37115,10171,"Your book is due in 1 week! Please return it on time.","2010-01-12",False,5459
10531,28507,"Your book is due in 1 week! Please return it on time.","2010-01-12",False,5459
32575,16591,"Your book is due in 1 week! Please return it on time.","2010-01-12",False,5459
30755,27969,"Your book is due in 1 week! Please return it on time.","2010-01-13",False,5458
2846,28585,"Your book is due in 1 week! Please return it on time.","2010-01-13",False,5458
14339,5186,"Your book is due in 1 week! Please return it on time.","2010-01-13",False,5458
1991,16865,"Your book is due in 1 week! Please return it on time.","2010-01-14",False,5457
31377,30969,"Your book is due in 1 week! Please return it on time.","2010-01-14",False,5457
10399,15726,"Your book is due in 1 week! Please return it on time.","2010-01-15",False,5456
30108,29625,"Your book is due in 1 week! Please return it on time.","2010-01-15",False,5456
17990,7996,"Your book is due in 1 week! Please return it on time.","2010-01-15",False,5456
45352,414,"Your book is due in 1 week! Please return it on time.","2010-01-15",False,5456
19532,21855,"Your book is due in 1 week! Please return it on time.","2010-01-15",False,5456
9905,23915,"Your book is due in 1 week! Please return it on time.","2010-01-15",False,5456
44987,8082,"Your book is due in 1 week! Please return it on time.","2010-01-16",False,5455
12742,17589,"Your book is due in 1 week! Please return it on time.","2010-01-16",False,5455
16937,3818,"Your book is due in 1 week! Please return it on time.","2010-01-16",False,5455
28143,26352,"Your book is due in 1 week! Please return it on time.","2010-01-16",False,5455
9017,8658,"Your book is due in 1 week! Please return it on time.","2010-01-17",False,5454
43043,14702,"Your book is due in 1 week! Please return it on time.","2010-01-17",False,5454
38668,10138,"Your book is due in 1 week! Please return it on time.","2010-01-17",False,5454
19208,31698,"Your book is due in 1 week! Please return it on time.","2010-01-17",False,5454
35654,26354,"Your book is due in 1 week! Please return it on time.","2010-01-17",False,5454
49726,24053,"Your book is due in 1 week! Please return it on time.","2010-01-17",False,5454
25917,24194,"Your book is due in 1 week! Please return it on time.","2010-01-17",False,5454
48404,10032,"Your book is due in 1 week! Please return it on time.","2010-01-17",False,5454
926,9490,"Your book is due in 1 week! Please return it on time.","2010-01-17",False,5454
49641,19781,"Your book is due in 1 week! Please return it on time.","2010-01-17",False,5454
5880,25904,"Your book is due in 1 week! Please return it on time.","2010-01-18",False,5453
28237,8284,"Your book is due in 1 week! Please return it on time.","2010-01-18",False,5453
12295,17243,"Your book is due in 1 week! Please return it on time.","2010-01-18",False,5453
24788,1210,"Your book is due in 1 week! Please return it on time.","2010-01-19",False,5452
27348,5508,"Your book is due in 1 week! Please return it on time.","2010-01-19",False,5452
2963,9313,"Your book is due in 1 week! Please return it on time.","2010-01-19",False,5452
44836,3063,"Your book is due in 1 week! Please return it on time.","2010-01-19",False,5452
2196,18519,"Your book is due in 1 week! Please return it on time.","2010-01-19",False,5452
4748,7144,"Your book is due in 1 week! Please return it on time.","2010-01-20",False,5451
14838,27330,"Your book is due in 1 week! Please return it on time.","2010-01-20",False,5451
46444,21219,"Your book is due in 1 week! Please return it on time.","2010-01-20",False,5451
20901,9983,"Your book is due in 1 week! Please return it on time.","2010-01-20",False,5451
35615,3811,"Your book is due in 1 week! Please return it on time.","2010-01-20",False,5451
42304,7538,"Your book is due in 1 week! Please return it on time.","2010-01-21",False,5450
25881,18641,"Your book is due in 1 week! Please return it on time.","2010-01-21",False,5450
7746,18498,"Your book is due in 1 week! Please return it on time.","2010-01-21",False,5450
40490,6544,"Your book is due in 1 week! Please return it on time.","2010-01-21",False,5450
24525,17555,"Your book is due in 1 week! Please return it on time.","2010-01-21",False,5450
8549,13830,"Your book is due in 1 week! Please return it on time.","2010-01-22",False,5449
17772,25248,"Your book is due in 1 week! Please return it on time.","2010-01-22",False,5449
7797,3191,"Your book is due in 1 week! Please return it on time.","2010-01-22",False,5449
15164,4335,"Your book is due in 1 week! Please return it on time.","2010-01-22",False,5449
1654,20579,"Your book is due in 1 week! Please return it on time.","2010-01-22",False,5449
46896,28543,"Your book is due in 1 week! Please return it on time.","2010-01-23",False,5448
31063,5820,"Your book is due in 1 week! Please return it on time.","2010-01-23",False,5448
43336,31611,"Your book is due in 1 week! Please return it on time.","2010-01-23",False,5448
28950,18128,"Your book is due in 1 week! Please return it on time.","2010-01-23",False,5448
24281,23103,"Your book is due in 1 week! Please return it on time.","2010-01-23",False,5448
23821,25474,"Your book is due in 1 week! Please return it on time.","2010-01-23",False,5448
48233,8282,"Your book is due in 1 week! Please return it on time.","2010-01-24",False,5447
43875,2006,"Your book is due in 1 week! Please return it on time.","2010-01-24",False,5447
7688,5133,"Your book is due in 1 week! Please return it on time.","2010-01-24",False,5447
15249,6379,"Your book is due in 1 week! Please return it on time.","2010-01-25",False,5446
24549,12416,"Your book is due in 1 week! Please return it on time.","2010-01-25",False,5446
20170,9988,"Your book is due in 1 week! Please return it on time.","2010-01-25",False,5446
24765,14121,"Your book is due in 1 week! Please return it on time.","2010-01-25",False,5446
47757,21646,"Your book is due in 1 week! Please return it on time.","2010-01-25",False,5446
45504,11263,"Your book is due in 1 week! Please return it on time.","2010-01-25",False,5446
11673,32516,"Your book is due in 1 week! Please return it on time.","2010-01-25",False,5446
21691,17646,"Your book is due in 1 week! Please return it on time.","2010-01-26",False,5445
49604,10913,"Your book is due in 1 week! Please return it on time.","2010-01-26",False,5445
12157,8156,"Your book is due in 1 week! Please return it on time.","2010-01-26",False,5445
30537,27058,"Your book is due in 1 week! Please return it on time.","2010-01-27",False,5444
22590,1038,"Your book is due in 1 week! Please return it on time.","2010-01-27",False,5444
2023,5360,"Your book is due in 1 week! Please return it on time.","2010-01-27",False,5444
28464,15464,"Your book is due in 1 week! Please return it on time.","2010-01-28",False,5443
43518,19365,"Your book is due in 1 week! Please return it on time.","2010-01-29",False,5442
2418,27936,"Your book is due in 1 week! Please return it on time.","2010-01-29",False,5442
28637,27466,"Your book is due in 1 week! Please return it on time.","2010-01-29",False,5442
21286,16524,"Your book is due in 1 week! Please return it on time.","2010-01-30",False,5441
20549,12763,"Your book is due in 1 week! Please return it on time.","2010-01-30",False,5441
14819,25324,"Your book is due in 1 week! Please return it on time.","2010-01-30",False,5441
446,13444,"Your book is due in 1 week! Please return it on time.","2010-01-31",False,5440
37717,24800,"Your book is due in 1 week! Please return it on time.","2010-01-31",False,5440
41856,19054,"Your book is due in 1 week! Please return it on time.","2010-02-01",False,5439
49682,17939,"Your book is due in 1 week! Please return it on time.","2010-02-01",False,5439
48173,18751,"Your book is due in 1 week! Please return it on time.","2010-02-02",False,5438
6300,17009,"Your book is due in 1 week! Please return it on time.","2010-02-02",False,5438
4229,24743,"Your book is due in 1 week! Please return it on time.","2010-02-02",False,5438
23556,21029,"Your book is due in 1 week! Please return it on time.","2010-02-02",False,5438
5029,11957,"Your book is due in 1 week! Please return it on time.","2010-02-02",False,5438
32053,6684,"Your book is due in 1 week! Please return it on time.","2010-02-03",False,5437
47284,19447,"Your book is due in 1 week! Please return it on time.","2010-02-03",False,5437
18670,30602,"Your book is due in 1 week! Please return it on time.","2010-02-03",False,5437
27302,10479,"Your book is due in 1 week! Please return it on time.","2010-02-03",False,5437
17855,13199,"Your book is due in 1 week! Please return it on time.","2010-02-03",False,5437
2009,31919,"Your book is due in 1 week! Please return it on time.","2010-02-04",False,5436
37856,13654,"Your book is due in 1 week! Please return it on time.","2010-02-04",False,5436
34527,31676,"Your book is due in 1 week! Please return it on time.","2010-02-05",False,5435
5134,773,"Your book is due in 1 week! Please return it on time.","2010-02-05",False,5435
38185,16400,"Your book is due in 1 week! Please return it on time.","2010-02-05",False,5435
40020,11628,"Your book is due in 1 week! Please return it on time.","2010-02-05",False,5435
33743,6490,"Your book is due in 1 week! Please return it on time.","2010-02-05",False,5435
7001,24311,"Your book is due in 1 week! Please return it on time.","2010-02-05",False,5435
43150,3114,"Your book is due in 1 week! Please return it on time.","2010-02-05",False,5435
404,6719,"Your book is due in 1 week! Please return it on time.","2010-02-06",False,5434
22689,17500,"Your book is due in 1 week! Please return it on time.","2010-02-06",False,5434
47099,17359,"Your book is due in 1 week! Please return it on time.","2010-02-06",False,5434
37418,25814,"Your book is due in 1 week! Please return it on time.","2010-02-06",False,5434
30911,7986,"Your book is due in 1 week! Please return it on time.","2010-02-06",False,5434
36450,10298,"Your book is due in 1 week! Please return it on time.","2010-02-07",False,5433
1438,12809,"Your book is due in 1 week! Please return it on time.","2010-02-07",False,5433
14877,16225,"Your book is due in 1 week! Please return it on time.","2010-02-07",False,5433
21080,26155,"Your book is due in 1 week! Please return it on time.","2010-02-07",False,5433
45933,27933,"Your book is due in 1 week! Please return it on time.","2010-02-07",False,5433
45068,31054,"Your book is due in 1 week! Please return it on time.","2010-02-08",False,5432
24730,18545,"Your book is due in 1 week! Please return it on time.","2010-02-08",False,5432
10926,28271,"Your book is due in 1 week! Please return it on time.","2010-02-08",False,5432
5028,31741,"Your book is due in 1 week! Please return it on time.","2010-02-08",False,5432
16951,28256,"Your book is due in 1 week! Please return it on time.","2010-02-08",False,5432
31902,15102,"Your book is due in 1 week! Please return it on time.","2010-02-08",False,5432
3218,2185,"Your book is due in 1 week! Please return it on time.","2010-02-09",False,5431
46377,19525,"Your book is due in 1 week! Please return it on time.","2010-02-09",False,5431
41444,896,"Your book is due in 1 week! Please return it on time.","2010-02-09",False,5431
1422,17984,"Your book is due in 1 week! Please return it on time.","2010-02-09",False,5431
47837,21616,"Your book is due in 1 week! Please return it on time.","2010-02-10",False,5430
5034,27308,"Your book is due in 1 week! Please return it on time.","2010-02-10",False,5430
8081,3258,"Your book is due in 1 week! Please return it on time.","2010-02-10",False,5430
45223,6612,"Your book is due in 1 week! Please return it on time.","2010-02-10",False,5430
28264,16433,"Your book is due in 1 week! Please return it on time.","2010-02-11",False,5429
23582,7208,"Your book is due in 1 week! Please return it on time.","2010-02-11",False,5429
28398,15592,"Your book is due in 1 week! Please return it on time.","2010-02-11",False,5429
17680,27890,"Your book is due in 1 week! Please return it on time.","2010-02-11",False,5429
61,13647,"Your book is due in 1 week! Please return it on time.","2010-02-11",False,5429
39677,11720,"Your book is due in 1 week! Please return it on time.","2010-02-11",False,5429
3092,24455,"Your book is due in 1 week! Please return it on time.","2010-02-11",False,5429
4003,17304,"Your book is due in 1 week! Please return it on time.","2010-02-12",False,5428
7315,4060,"Your book is due in 1 week! Please return it on time.","2010-02-12",False,5428
1527,15932,"Your book is due in 1 week! Please return it on time.","2010-02-12",False,5428
30727,6519,"Your book is due in 1 week! Please return it on time.","2010-02-12",False,5428
12122,15575,"Your book is due in 1 week! Please return it on time.","2010-02-12",False,5428
26815,2205,"Your book is due in 1 week! Please return it on time.","2010-02-13",False,5427
25819,14617,"Your book is due in 1 week! Please return it on time.","2010-02-13",False,5427
16230,31206,"Your book is due in 1 week! Please return it on time.","2010-02-13",False,5427
9998,27733,"Your book is due in 1 week! Please return it on time.","2010-02-13",False,5427
20980,1144,"Your book is due in 1 week! Please return it on time.","2010-02-13",False,5427
32951,29067,"Your book is due in 1 week! Please return it on time.","2010-02-14",False,5426
4556,17516,"Your book is due in 1 week! Please return it on time.","2010-02-14",False,5426
15059,25134,"Your book is due in 1 week! Please return it on time.","2010-02-14",False,5426
34048,10024,"Your book is due in 1 week! Please return it on time.","2010-02-15",False,5425
2525,9074,"Your book is due in 1 week! Please return it on time.","2010-02-15",False,5425
23736,4681,"Your book is due in 1 week! Please return it on time.","2010-02-15",False,5425
20296,5574,"Your book is due in 1 week! Please return it on time.","2010-02-15",False,5425
3966,30559,"Your book is due in 1 week! Please return it on time.","2010-02-16",False,5424
4968,12645,"Your book is due in 1 week! Please return it on time.","2010-02-16",False,5424
41192,22139,"Your book is due in 1 week! Please return it on time.","2010-02-17",False,5423
16969,14420,"Your book is due in 1 week! Please return it on time.","2010-02-17",False,5423
13170,8960,"Your book is due in 1 week! Please return it on time.","2010-02-18",False,5422
20054,18774,"Your book is due in 1 week! Please return it on time.","2010-02-18",False,5422
10403,5092,"Your book is due in 1 week! Please return it on time.","2010-02-18",False,5422
32462,19422,"Your book is due in 1 week! Please return it on time.","2010-02-19",False,5421
10643,8743,"Your book is due in 1 week! Please return it on time.","2010-02-19",False,5421
34644,1171,"Your book is due in 1 week! Please return it on time.","2010-02-19",False,5421
25402,6849,"Your book is due in 1 week! Please return it on time.","2010-02-20",False,5420
41304,10624,"Your book is due in 1 week! Please return it on time.","2010-02-20",False,5420
29872,26656,"Your book is due in 1 week! Please return it on time.","2010-02-20",False,5420
17634,27860,"Your book is due in 1 week! Please return it on time.","2010-02-20",False,5420
1871,22403,"Your book is due in 1 week! Please return it on time.","2010-02-20",False,5420
23544,26159,"Your book is due in 1 week! Please return it on time.","2010-02-21",False,5419
20356,31430,"Your book is due in 1 week! Please return it on time.","2010-02-21",False,5419
26052,26701,"Your book is due in 1 week! Please return it on time.","2010-02-21",False,5419
38757,10818,"Your book is due in 1 week! Please return it on time.","2010-02-21",False,5419
5037,1889,"Your book is due in 1 week! Please return it on time.","2010-02-21",False,5419
34819,30977,"Your book is due in 1 week! Please return it on time.","2010-02-21",False,5419
32184,13705,"Your book is due in 1 week! Please return it on time.","2010-02-21",False,5419
44447,297,"Your book is due in 1 week! Please return it on time.","2010-02-21",False,5419
33604,18597,"Your book is due in 1 week! Please return it on time.","2010-02-22",False,5418
7848,20118,"Your book is due in 1 week! Please return it on time.","2010-02-22",False,5418
24052,11033,"Your book is due in 1 week! Please return it on time.","2010-02-22",False,5418
11179,21500,"Your book is due in 1 week! Please return it on time.","2010-02-22",False,5418
809,12300,"Your book is due in 1 week! Please return it on time.","2010-02-23",False,5417
41933,9045,"Your book is due in 1 week! Please return it on time.","2010-02-23",False,5417
24182,23035,"Your book is due in 1 week! Please return it on time.","2010-02-23",False,5417
40274,14514,"Your book is due in 1 week! Please return it on time.","2010-02-23",False,5417
26618,4252,"Your book is due in 1 week! Please return it on time.","2010-02-24",False,5416
49764,24217,"Your book is due in 1 week! Please return it on time.","2010-02-24",False,5416
12784,22510,"Your book is due in 1 week! Please return it on time.","2010-02-24",False,5416
38048,3955,"Your book is due in 1 week! Please return it on time.","2010-02-24",False,5416
2125,11375,"Your book is due in 1 week! Please return it on time.","2010-02-24",False,5416
42419,18124,"Your book is due in 1 week! Please return it on time.","2010-02-25",False,5415
38851,112,"Your book is due in 1 week! Please return it on time.","2010-02-25",False,5415
14079,16075,"Your book is due in 1 week! Please return it on time.","2010-02-25",False,5415
48600,20384,"Your book is due in 1 week! Please return it on time.","2010-02-25",False,5415
905,10521,"Your book is due in 1 week! Please return it on time.","2010-02-26",False,5414
46455,20219,"Your book is due in 1 week! Please return it on time.","2010-02-27",False,5413
48319,2038,"Your book is due in 1 week! Please return it on time.","2010-02-27",False,5413
49687,13117,"Your book is due in 1 week! Please return it on time.","2010-02-27",False,5413
43575,1824,"Your book is due in 1 week! Please return it on time.","2010-02-27",False,5413
32745,6485,"Your book is due in 1 week! Please return it on time.","2010-02-28",False,5412
34548,14496,"Your book is due in 1 week! Please return it on time.","2010-02-28",False,5412
29836,5482,"Your book is due in 1 week! Please return it on time.","2010-02-28",False,5412
12312,15575,"Your book is due in 1 week! Please return it on time.","2010-02-28",False,5412
13462,10997,"Your book is due in 1 week! Please return it on time.","2010-02-28",False,5412
8340,6437,"Your book is due in 1 week! Please return it on time.","2010-03-01",False,5411
2795,6243,"Your book is due in 1 week! Please return it on time.","2010-03-01",False,5411
18808,24778,"Your book is due in 1 week! Please return it on time.","2010-03-01",False,5411
2158,11123,"Your book is due in 1 week! Please return it on time.","2010-03-01",False,5411
35415,5615,"Your book is due in 1 week! Please return it on time.","2010-03-02",False,5410
22889,3713,"Your book is due in 1 week! Please return it on time.","2010-03-02",False,5410
32457,9884,"Your book is due in 1 week! Please return it on time.","2010-03-02",False,5410
20565,10158,"Your book is due in 1 week! Please return it on time.","2010-03-02",False,5410
14620,33287,"Your book is due in 1 week! Please return it on time.","2010-03-02",False,5410
34525,21838,"Your book is due in 1 week! Please return it on time.","2010-03-02",False,5410
1983,10964,"Your book is due in 1 week! Please return it on time.","2010-03-02",False,5410
13385,14555,"Your book is due in 1 week! Please return it on time.","2010-03-03",False,5409
27188,23095,"Your book is due in 1 week! Please return it on time.","2010-03-03",False,5409
37270,4730,"Your book is due in 1 week! Please return it on time.","2010-03-04",False,5408
49759,26235,"Your book is due in 1 week! Please return it on time.","2010-03-04",False,5408
42693,19985,"Your book is due in 1 week! Please return it on time.","2010-03-04",False,5408
7083,33053,"Your book is due in 1 week! Please return it on time.","2010-03-04",False,5408
29613,23911,"Your book is due in 1 week! Please return it on time.","2010-03-04",False,5408
28111,18818,"Your book is due in 1 week! Please return it on time.","2010-03-05",False,5407
4590,15802,"Your book is due in 1 week! Please return it on time.","2010-03-05",False,5407
18270,15922,"Your book is due in 1 week! Please return it on time.","2010-03-05",False,5407
25772,4381,"Your book is due in 1 week! Please return it on time.","2010-03-05",False,5407
39978,13702,"Your book is due in 1 week! Please return it on time.","2010-03-06",False,5406
35372,26081,"Your book is due in 1 week! Please return it on time.","2010-03-06",False,5406
41919,25088,"Your book is due in 1 week! Please return it on time.","2010-03-06",False,5406
34635,12752,"Your book is due in 1 week! Please return it on time.","2010-03-06",False,5406
35698,30788,"Your book is due in 1 week! Please return it on time.","2010-03-06",False,5406
38737,11056,"Your book is due in 1 week! Please return it on time.","2010-03-07",False,5405
32139,13227,"Your book is due in 1 week! Please return it on time.","2010-03-07",False,5405
10651,23662,"Your book is due in 1 week! Please return it on time.","2010-03-07",False,5405
39707,32697,"Your book is due in 1 week! Please return it on time.","2010-03-07",False,5405
29763,14350,"Your book is due in 1 week! Please return it on time.","2010-03-08",False,5404
14913,27890,"Your book is due in 1 week! Please return it on time.","2010-03-08",False,5404
36801,6823,"Your book is due in 1 week! Please return it on time.","2010-03-08",False,5404
19854,24174,"Your book is due in 1 week! Please return it on time.","2010-03-08",False,5404
13848,16507,"Your book is due in 1 week! Please return it on time.","2010-03-09",False,5403
6593,23479,"Your book is due in 1 week! Please return it on time.","2010-03-09",False,5403
27416,17218,"Your book is due in 1 week! Please return it on time.","2010-03-09",False,5403
12819,28158,"Your book is due in 1 week! Please return it on time.","2010-03-09",False,5403
13506,17601,"Your book is due in 1 week! Please return it on time.","2010-03-09",False,5403
39210,20020,"Your book is due in 1 week! Please return it on time.","2010-03-09",False,5403
29559,12123,"Your book is due in 1 week! Please return it on time.","2010-03-10",False,5402
29440,20418,"Your book is due in 1 week! Please return it on time.","2010-03-10",False,5402
4881,22812,"Your book is due in 1 week! Please return it on time.","2010-03-10",False,5402
17504,2539,"Your book is due in 1 week! Please return it on time.","2010-03-11",False,5401
6948,7755,"Your book is due in 1 week! Please return it on time.","2010-03-11",False,5401
41755,26708,"Your book is due in 1 week! Please return it on time.","2010-03-11",False,5401
36678,17295,"Your book is due in 1 week! Please return it on time.","2010-03-11",False,5401
10881,22325,"Your book is due in 1 week! Please return it on time.","2010-03-12",False,5400
33310,1209,"Your book is due in 1 week! Please return it on time.","2010-03-12",False,5400
29824,11033,"Your book is due in 1 week! Please return it on time.","2010-03-12",False,5400
33943,30343,"Your book is due in 1 week! Please return it on time.","2010-03-12",False,5400
29713,6324,"Your book is due in 1 week! Please return it on time.","2010-03-12",False,5400
5593,6167,"Your book is due in 1 week! Please return it on time.","2010-03-12",False,5400
1242,20981,"Your book is due in 1 week! Please return it on time.","2010-03-12",False,5400
46158,19600,"Your book is due in 1 week! Please return it on time.","2010-03-12",False,5400
12898,10306,"Your book is due in 1 week! Please return it on time.","2010-03-13",False,5399
46044,11345,"Your book is due in 1 week! Please return it on time.","2010-03-13",False,5399
43372,13407,"Your book is due in 1 week! Please return it on time.","2010-03-13",False,5399
16288,1468,"Your book is due in 1 week! Please return it on time.","2010-03-13",False,5399
20504,12768,"Your book is due in 1 week! Please return it on time.","2010-03-13",False,5399
11863,1233,"Your book is due in 1 week! Please return it on time.","2010-03-13",False,5399
32594,30969,"Your book is due in 1 week! Please return it on time.","2010-03-14",False,5398
39046,29632,"Your book is due in 1 week! Please return it on time.","2010-03-14",False,5398
34373,20334,"Your book is due in 1 week! Please return it on time.","2010-03-14",False,5398
13622,20458,"Your book is due in 1 week! Please return it on time.","2010-03-14",False,5398
3311,6619,"Your book is due in 1 week! Please return it on time.","2010-03-14",False,5398
21700,25631,"Your book is due in 1 week! Please return it on time.","2010-03-14",False,5398
43038,18160,"Your book is due in 1 week! Please return it on time.","2010-03-14",False,5398
19056,11814,"Your book is due in 1 week! Please return it on time.","2010-03-15",False,5397
22473,32862,"Your book is due in 1 week! Please return it on time.","2010-03-15",False,5397
6222,9000,"Your book is due in 1 week! Please return it on time.","2010-03-15",False,5397
18764,2552,"Your book is due in 1 week! Please return it on time.","2010-03-15",False,5397
7300,26679,"Your book is due in 1 week! Please return it on time.","2010-03-16",False,5396
35736,30378,"Your book is due in 1 week! Please return it on time.","2010-03-16",False,5396
316,31440,"Your book is due in 1 week! Please return it on time.","2010-03-17",False,5395
10145,21827,"Your book is due in 1 week! Please return it on time.","2010-03-17",False,5395
35119,6151,"Your book is due in 1 week! Please return it on time.","2010-03-17",False,5395
31918,5727,"Your book is due in 1 week! Please return it on time.","2010-03-17",False,5395
